#HERTZ- TESLAS

0	0
0.1	0.001
0.5	0.005
0.7	0.007
1	0.01
5	0.03
7	0.04
10	0.06
20	0.08
30	0.1
40	0.135
50	0.175
60	0.2
62	0.22
65	0.25
68	0.27
70	0.3
75	0.35
80	0.4
82	0.435
86	0.475
90	0.5
93	0.535
97	0.575
100	0.6
110	0.625
120	0.65
130	0.7
140	0.725
145	0.75
150	0.8
170	0.85
200	0.9
225	0.925
250	0.95
275	0.96
300	0.98
400	1
420	1.01
440	1.02
460	1.03
480	1.04
500	1.05
520	1.06
540	1.07
560	1.08
580	1.09
600	1.1
650	1.112
800	1.15
900	1.175
950	1.185
1000	1.2
1500	1.25
2000	1.3
2500	1.35
3800	1.4
5000	1.44
6000	1.45
6050	1.46
6500	1.47
7000	1.475
7400	1.48
8200	1.5
9000	1.51
9400	1.52
9800	1.53
10000	1.54
11000	1.57
11500	1.6
12400	1.618
12800	1.62
13200	1.625
13600	1.63
13800	1.635
14000	1.64
15600	1.67
16400	1.68
